Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,28,"['Inside', 'Phantom', 'Opera', 'Load-Out', ':', 'Chandelier', 'Leaves', 'Majestic', '|Get', 'somber', 'look', 'tear-down', 'process', 'Ruthie', 'II', 'departs', 'longtime', 'home', '.']",19,"['of', 'the', 'The', 'the', 'a', 'at', 'the', 'as', 'her']",9,0.32,
Sentence 2,21,"['||Broadway|Phantom', 'Opera', 'New', 'York', 'City', 'Cities', 'Complimentary', 'Deeply', 'Discounted', 'Shows', 'Enjoy', 'live', 'events', 'insider', 'prices', '.']",16,"['of', 'the', 'Other', 'And', 'at']",5,0.24,
Sentence 3,13,"['Club', 'members', 'see', 'different', 'show', 'every', 'night', 'week', '!']",9,"['can', 'a', 'of', 'the']",4,0.31,
Sentence 4,22,"['New', 'York', 'London', 'Discount', 'Ticket', 'Alerts', 'Stay', 'abreast', 'discount', 'offers', 'great', 'theater', ',', 'Broadway', 'select', 'cities', '.']",17,"['of', 'for', 'on', 'or', 'in']",5,0.23,
Sentence 5,12,"['signing', 'confirming', '16', '.']",4,"['By', 'up', 'you', 'are', 'you', 'are', 'or', 'over']",8,0.67,
Sentence 6,5,"['View', 'Privacy', 'Policy', '.']",4,['our'],1,0.2,
Sentence 7,17,"['New', 'York', 'City', 'Cities', 'Complimentary', 'Deeply', 'Discounted', 'Shows', 'Enjoy', 'live', 'events', 'insider', 'prices', '.']",14,"['Other', 'And', 'at']",3,0.18,
Sentence 8,13,"['Club', 'members', 'see', 'different', 'show', 'every', 'night', 'week', '!']",9,"['can', 'a', 'of', 'the']",4,0.31,
Sentence 9,22,"['New', 'York', 'London', 'Discount', 'Ticket', 'Alerts', 'Stay', 'abreast', 'discount', 'offers', 'great', 'theater', ',', 'Broadway', 'select', 'cities', '.']",17,"['of', 'for', 'on', 'or', 'in']",5,0.23,
Sentence 10,12,"['signing', 'confirming', '16', '.']",4,"['By', 'up', 'you', 'are', 'you', 'are', 'or', 'over']",8,0.67,
Sentence 11,5,"['View', 'Privacy', 'Policy', '.']",4,['our'],1,0.2,
Sentence 12,16,"['Get', 'somber', 'look', 'tear-down', 'process', 'Ruthie', 'II', 'departs', 'longtime', 'home', '.']",11,"['a', 'at', 'the', 'as', 'her']",5,0.31,
Sentence 13,49,"['Today', ',', 'May', '1', ',', 'somber', 'historic', 'day', 'Broadway', 'Phantom', 'Opera', 'fans', ':', 'show', '’', 'iconic', 'chandelier', 'officially', 'left', 'Majestic', 'Theatre', 'loaded', 'onto', 'back', 'truck', '(', 'presumably', 'headed', 'farm', 'upstate', ')', '.']",32,"['was', 'a', 'and', 'for', 'and', 'of', 'the', 'the', 's', 'the', 'and', 'was', 'the', 'of', 'a', 'for', 'a']",17,0.35,
Sentence 14,18,"['Chandelier', 'custom-built', 'New', 'York', 'production', ',', 'appeared', 'entire', 'run', '.']",10,"['The', 'was', 'for', 'the', 'where', 'it', 'for', 'its']",8,0.44,
Sentence 15,34,"['Lovingly', 'named', '“', 'Ruthie', 'II', '”', 'director', 'Hal', 'Prince', '’', 'longtime', 'associate', 'Ruth', 'Mitchell', ',', 'dazzling', 'replica', 'Paris', 'Opera', 'House', 'chandelier', 'weighs', 'one', 'ton', 'features', '30,000', 'beads', '.']",28,"['after', 's', 'the', 'of', 'the', 'and']",6,0.18,
Sentence 16,24,"['course', 'nearly', '14,000', 'New', 'York', 'performances', ',', 'traveled', 'stage', '5,382,685', 'feet', '(', '1,019', 'miles', ')', '.']",16,"['In', 'the', 'of', 'it', 'to', 'and', 'from', 'the']",8,0.33,
Sentence 17,12,"['full', 'load-out', 'expected', 'take', 'least', 'five', 'weeks', '.']",8,"['The', 'is', 'to', 'at']",4,0.33,
Sentence 18,45,"['photos', '©', 'Jeremy', 'Daniel', 'providing', 'information', 'entertainment', 'cultural', 'events', 'site', ',', 'TheaterMania.com', 'shall', 'deemed', 'endorse', ',', 'recommend', ',', 'approve', 'and/or', 'guarantee', 'events', ',', 'facts', ',', 'views', ',', 'advice', 'and/or', 'information', 'contained', 'therein', '.']",33,"['All', 'By', 'about', 'and', 'on', 'this', 'not', 'be', 'to', 'such', 'or', 'any']",12,0.27,
Sentence 19,6,"['Privacy', 'Policy', '&', 'Terms', 'Use']",5,['of'],1,0.17,
